node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown
H19.33.004__1417642343__21_13	H19.33.004__1417642343__21_13	H19.33.004	CN	1417642343	3206.6383428158965	2034.852884043818	23	471.39130434782606		unknown	1.0	1.0
H19.33.004__1417642343__20_30	H19.33.004__1417642343__20_30	H19.33.004	CN	1417642343	3068.2775300678454	4568.9600637335525	38	295.07894736842104		unknown	1.0	1.0
H19.33.004__1417642343__20_16	H19.33.004__1417642343__20_16	H19.33.004	CN	1417642343	3083.078740234375	2468.685537109375	25	421.76		unknown	1.0	1.0
H19.33.004__1417642343__26_11	H19.33.004__1417642343__26_11	H19.33.004	CN	1417642343	4009.1884969075522	1720.452392578125	24	282.375		unknown	1.0	1.0
H19.33.004__1417642343__24_15	H19.33.004__1417642343__24_15	H19.33.004	CN	1417642343	3682.6868990384614	2337.462702824519	26	494.4230769230769		unknown	1.0	1.0
H19.33.004__1417642343__24_13	H19.33.004__1417642343__24_13	H19.33.004	CN	1417642343	3648.7633347284227	2031.4995059058779	21	393.3809523809524		unknown	1.0	1.0
H19.33.004__1417642343__23_27	H19.33.004__1417642343__23_27	H19.33.004	CN	1417642343	3534.4331868489585	4144.764133029514	18	400.44444444444446		unknown	1.0	1.0
H19.33.004__1417642343__26_26	H19.33.004__1417642343__26_26	H19.33.004	CN	1417642343	3979.33046653054	3977.571211381392	22	264.8636363636364		unknown	1.0	1.0
H19.33.004__1417642343__25_20	H19.33.004__1417642343__25_20	H19.33.004	CN	1417642343	3832.415986032197	3059.029814749053	33	354.2121212121212		unknown	1.0	1.0
H19.33.004__1417642343__28_22	H19.33.004__1417642343__28_22	H19.33.004	CN	1417642343	4248.74775834517	3377.558937766335	22	412.72727272727275		unknown	1.0	1.0
H19.33.004__1417642343__27_22	H19.33.004__1417642343__27_22	H19.33.004	CN	1417642343	4122.260422926683	3361.452843299279	26	264.0		unknown	1.0	1.0
H19.33.004__1417642343__26_21	H19.33.004__1417642343__26_21	H19.33.004	CN	1417642343	3958.3016826923076	3232.0337853064902	26	304.34615384615387		unknown	1.0	1.0
H19.33.004__1417642343__24_6	H19.33.004__1417642343__24_6	H19.33.004	CN	1417642343	3664.8215535481772	931.6431172688802	12	180.58333333333334		unknown	1.0	1.0
H19.33.004__1417642343__23_5	H19.33.004__1417642343__23_5	H19.33.004	CN	1417642343	3544.0937622070314	823.7261901855469	40	403.825		unknown	1.0	1.0
H19.33.004__1417642343__23_6	H19.33.004__1417642343__23_6	H19.33.004	CN	1417642343	3508.8362611282705	960.7053918173146	43	266.5348837209302		unknown	1.0	1.0
H19.33.004__1417642343__25_5	H19.33.004__1417642343__25_5	H19.33.004	CN	1417642343	3807.6223288143383	839.2160357306985	34	219.2941176470588		unknown	1.0	1.0
H19.33.004__1417642343__24_5	H19.33.004__1417642343__24_5	H19.33.004	CN	1417642343	3678.8162109375	823.7466262817383	40	312.35		unknown	1.0	1.0
H19.33.004__1417642343__24_8	H19.33.004__1417642343__24_8	H19.33.004	CN	1417642343	3649.3509419759116	1285.9351959228516	24	229.58333333333334		unknown	1.0	1.0
H19.33.004__1417642343__21_5	H19.33.004__1417642343__21_5	H19.33.004	CN	1417642343	3252.4605887276784	883.9198804582868	28	432.7857142857143		unknown	1.0	1.0
H19.33.004__1417642343__21_6	H19.33.004__1417642343__21_6	H19.33.004	CN	1417642343	3209.6670143821025	945.330078125	55	390.8363636363636		unknown	1.0	1.0
H19.33.004__1417642343__22_6	H19.33.004__1417642343__22_6	H19.33.004	CN	1417642343	3398.4045526413693	1007.1192583356585	42	252.73809523809524		unknown	1.0	1.0
H19.33.004__1417642343__22_15	H19.33.004__1417642343__22_15	H19.33.004	CN	1417642343	3389.33980066636	2321.9376005284926	34	338.38235294117646		unknown	1.0	1.0
H19.33.004__1417642343__21_7	H19.33.004__1417642343__21_7	H19.33.004	CN	1417642343	3219.3714488636365	1086.3460582386363	11	300.1818181818182		unknown	1.0	1.0
H19.33.004__1417642343__22_5	H19.33.004__1417642343__22_5	H19.33.004	CN	1417642343	3377.8507236578525	874.8238055889423	39	543.9487179487179		unknown	1.0	1.0
H19.33.004__1417642343__36_3	H19.33.004__1417642343__36_3	H19.33.004	CN	1417642343	5479.097328186035	521.8714299201965	64	173.6875		unknown	1.0	1.0
H19.33.004__1417642343__37_3	H19.33.004__1417642343__37_3	H19.33.004	CN	1417642343	5636.096747295673	520.0795738807092	65	203.83076923076922		unknown	1.0	1.0
H19.33.004__1417642343__38_2	H19.33.004__1417642343__38_2	H19.33.004	CN	1417642343	5838.409765625	394.15875244140625	5	269.0		unknown	1.0	1.0
H19.33.004__1417642343__37_2	H19.33.004__1417642343__37_2	H19.33.004	CN	1417642343	5577.4627685546875	438.10428619384766	12	141.58333333333334		unknown	1.0	1.0
H19.33.004__1417642343__36_2	H19.33.004__1417642343__36_2	H19.33.004	CN	1417642343	5475.760416666667	408.42250569661456	12	190.5		unknown	1.0	1.0
H19.33.004__1417642343__38_3	H19.33.004__1417642343__38_3	H19.33.004	CN	1417642343	5738.64990234375	545.5200070467862	22	101.5909090909091		unknown	1.0	1.0
H19.33.004__1417642343__39_4	H19.33.004__1417642343__39_4	H19.33.004	CN	1417642343	5891.24029296875	674.807939453125	25	245.44		unknown	1.0	1.0
H19.33.004__1417642343__38_4	H19.33.004__1417642343__38_4	H19.33.004	CN	1417642343	5784.090366908482	670.7048568725586	56	190.26785714285714		unknown	1.0	1.0
H19.33.004__1417642343__36_4	H19.33.004__1417642343__36_4	H19.33.004	CN	1417642343	5482.04857494213	641.1497960973669	27	180.8148148148148		unknown	1.0	1.0
H19.33.004__1417642343__37_5	H19.33.004__1417642343__37_5	H19.33.004	CN	1417642343	5627.512765066965	822.6456080845425	14	183.0		unknown	1.0	1.0
H19.33.004__1417642343__37_4	H19.33.004__1417642343__37_4	H19.33.004	CN	1417642343	5634.976574125744	678.4474705287388	42	158.07142857142858		unknown	1.0	1.0
H19.33.004__1417642343__36_5	H19.33.004__1417642343__36_5	H19.33.004	CN	1417642343	5469.24201311384	821.6844177246094	14	218.07142857142858		unknown	1.0	1.0
H19.33.004__1417642343__33_4	H19.33.004__1417642343__33_4	H19.33.004	CN	1417642343	5031.889834449405	650.759998139881	21	231.38095238095238		unknown	1.0	1.0
H19.33.004__1417642343__33_5	H19.33.004__1417642343__33_5	H19.33.004	CN	1417642343	5027.558081054687	833.6981140136719	20	184.85		unknown	1.0	1.0
H19.33.004__1417642343__32_5	H19.33.004__1417642343__32_5	H19.33.004	CN	1417642343	4867.981423117898	805.4537187056108	22	175.3181818181818		unknown	1.0	1.0
H19.33.004__1417642343__33_7	H19.33.004__1417642343__33_7	H19.33.004	CN	1417642343	5021.397847493489	1109.4877675374348	24	302.8333333333333		unknown	1.0	1.0
H19.33.004__1417642343__33_8	H19.33.004__1417642343__33_8	H19.33.004	CN	1417642343	5019.554280598958	1284.8597683376736	18	469.22222222222223		unknown	1.0	1.0
H19.33.004__1417642343__32_7	H19.33.004__1417642343__32_7	H19.33.004	CN	1417642343	4870.643218994141	1133.683837890625	16	305.625		unknown	1.0	1.0
H19.33.004__1417642343__32_8	H19.33.004__1417642343__32_8	H19.33.004	CN	1417642343	4884.808628627232	1279.539097377232	14	388.7857142857143		unknown	1.0	1.0
H19.33.004__1417642343__33_6	H19.33.004__1417642343__33_6	H19.33.004	CN	1417642343	5022.5877685546875	978.0294921875	20	321.45		unknown	1.0	1.0
H19.33.004__1417642343__32_6	H19.33.004__1417642343__32_6	H19.33.004	CN	1417642343	4875.841452205882	966.1161032284008	17	315.52941176470586		unknown	1.0	1.0
H19.33.004__1417642343__35_4	H19.33.004__1417642343__35_4	H19.33.004	CN	1417642343	5304.841764322917	661.3489379882812	15	194.86666666666667		unknown	1.0	1.0
H19.33.004__1417642343__35_2	H19.33.004__1417642343__35_2	H19.33.004	CN	1417642343	5380.540283203125	408.34128189086914	8	160.25		unknown	1.0	1.0
H19.33.004__1417642343__35_3	H19.33.004__1417642343__35_3	H19.33.004	CN	1417642343	5329.504014756944	511.8883327907986	18	185.66666666666666		unknown	1.0	1.0
H19.33.004__1417642343__34_5	H19.33.004__1417642343__34_5	H19.33.004	CN	1417642343	5174.2610546875	806.4258618164063	25	331.44		unknown	1.0	1.0
H19.33.004__1417642343__35_5	H19.33.004__1417642343__35_5	H19.33.004	CN	1417642343	5308.684872581845	826.1855381556919	21	326.5238095238095		unknown	1.0	1.0
H19.33.004__1417642343__35_6	H19.33.004__1417642343__35_6	H19.33.004	CN	1417642343	5338.530649038462	999.0157235952524	13	406.0		unknown	1.0	1.0
H19.33.004__1417642343__34_4	H19.33.004__1417642343__34_4	H19.33.004	CN	1417642343	5177.331570095486	678.4382697211372	18	202.27777777777777		unknown	1.0	1.0
H19.33.004__1417642343__34_3	H19.33.004__1417642343__34_3	H19.33.004	CN	1417642343	5160.028962787829	534.5331163908306	19	226.10526315789474		unknown	1.0	1.0
H19.33.004__1417642343__32_4	H19.33.004__1417642343__32_4	H19.33.004	CN	1417642343	4848.9337972005205	697.3114166259766	12	161.41666666666666		unknown	1.0	1.0
H19.33.004__1417642343__38_5	H19.33.004__1417642343__38_5	H19.33.004	CN	1417642343	5785.840876116072	834.0228079659598	35	155.94285714285715		unknown	1.0	1.0
H19.33.004__1417642343__39_6	H19.33.004__1417642343__39_6	H19.33.004	CN	1417642343	5934.607201360887	975.3914046748991	31	294.4193548387097		unknown	1.0	1.0
H19.33.004__1417642343__39_7	H19.33.004__1417642343__39_7	H19.33.004	CN	1417642343	5928.525358072917	1111.057568359375	15	234.4		unknown	1.0	1.0
H19.33.004__1417642343__39_5	H19.33.004__1417642343__39_5	H19.33.004	CN	1417642343	5928.484922466856	835.9543494022254	66	201.62121212121212		unknown	1.0	1.0
