donor_id	feature	value
H21.33.020	pca_hvg_17__A9	4.165988229942741e-07
H21.33.026	pca_hvg_17__A9	0.0
H21.33.029	pca_hvg_17__A9	0.0
H21.33.033	pca_hvg_17__A9	0.0
H21.33.034	pca_hvg_17__A9	-8.094579584394523e-08
H21.33.037	pca_hvg_17__A9	0.0
H21.33.038	pca_hvg_17__A9	0.0
H21.33.039	pca_hvg_17__A9	0.0
H21.33.044	pca_hvg_17__A9	-4.1568782194190135e-08
H21.33.045	pca_hvg_17__A9	2.1527255285036517e-06
H21.33.046	pca_hvg_17__A9	0.0
H20.33.008	pca_hvg_17__MTG	1.01845091649011e-06
H20.33.026	pca_hvg_17__MTG	5.431405725175864e-07
H20.33.028	pca_hvg_17__MTG	-7.320597887883196e-07
H20.33.033	pca_hvg_17__MTG	9.325906376034254e-07
H20.33.035	pca_hvg_17__MTG	4.3852915609932097e-07
H20.33.036	pca_hvg_17__MTG	-5.158578915143153e-07
H20.33.037	pca_hvg_17__MTG	-2.146719140228015e-07
H20.33.038	pca_hvg_17__MTG	-3.0569890441256575e-07
H20.33.045	pca_hvg_17__MTG	1.4122750258138694e-07
H200.1023	pca_hvg_17__MTG	-7.387804146219423e-08
H21.33.009	pca_hvg_17__MTG	6.049273224562057e-07
H21.33.017	pca_hvg_17__MTG	-1.224776013941664e-07
H21.33.020	pca_hvg_17__MTG	-2.979232647248864e-07
H21.33.026	pca_hvg_17__MTG	-2.7838129312840465e-07
H21.33.029	pca_hvg_17__MTG	5.3429939583793384e-08
H21.33.033	pca_hvg_17__MTG	7.834455004740448e-07
H21.33.034	pca_hvg_17__MTG	-1.7081090391002363e-06
H21.33.037	pca_hvg_17__MTG	-5.351259346753068e-07
H21.33.038	pca_hvg_17__MTG	8.607381118963531e-07
H21.33.039	pca_hvg_17__MTG	2.6379835205148083e-08
H21.33.044	pca_hvg_17__MTG	4.1061628763827684e-08
H21.33.045	pca_hvg_17__MTG	4.4127463638687914e-07
H21.33.046	pca_hvg_17__MTG	2.6046106427202176e-07
H20.33.008	pca_hvg_18__A9	0.0
H20.33.026	pca_hvg_18__A9	0.0
H20.33.028	pca_hvg_18__A9	-3.0985390253590595e-07
H20.33.033	pca_hvg_18__A9	0.0
H20.33.035	pca_hvg_18__A9	0.0
H20.33.036	pca_hvg_18__A9	1.6001638414309127e-07
H20.33.037	pca_hvg_18__A9	0.0
H20.33.038	pca_hvg_18__A9	1.2391568589009694e-06
H20.33.045	pca_hvg_18__A9	0.0
H200.1023	pca_hvg_18__A9	0.0
H21.33.009	pca_hvg_18__A9	0.0
H21.33.017	pca_hvg_18__A9	0.0
H21.33.020	pca_hvg_18__A9	1.0001949704019353e-06
H21.33.026	pca_hvg_18__A9	0.0
H21.33.029	pca_hvg_18__A9	0.0
H21.33.033	pca_hvg_18__A9	0.0
H21.33.034	pca_hvg_18__A9	1.9321335003041895e-06
H21.33.037	pca_hvg_18__A9	0.0
H21.33.038	pca_hvg_18__A9	0.0
H21.33.039	pca_hvg_18__A9	0.0
H21.33.044	pca_hvg_18__A9	-5.224083565735782e-07
H21.33.045	pca_hvg_18__A9	1.1256415746174753e-06
H21.33.046	pca_hvg_18__A9	0.0
H20.33.008	pca_hvg_18__MTG	5.407530352385947e-07
H20.33.026	pca_hvg_18__MTG	-7.774714205766031e-09
H20.33.028	pca_hvg_18__MTG	-2.2598489124447951e-07
H20.33.033	pca_hvg_18__MTG	8.070994681474986e-07
H20.33.035	pca_hvg_18__MTG	-2.833860719420045e-07
H20.33.036	pca_hvg_18__MTG	1.41137533660185e-07
H20.33.037	pca_hvg_18__MTG	-2.7194948870601365e-07
H20.33.038	pca_hvg_18__MTG	-1.3997178882618755e-07
H20.33.045	pca_hvg_18__MTG	-5.304477213030623e-07
H200.1023	pca_hvg_18__MTG	9.068137529766318e-08
H21.33.009	pca_hvg_18__MTG	3.355334285970457e-07
H21.33.017	pca_hvg_18__MTG	-6.165191024365413e-08
H21.33.020	pca_hvg_18__MTG	7.196535989351105e-08
H21.33.026	pca_hvg_18__MTG	-1.0029025361291133e-06
H21.33.029	pca_hvg_18__MTG	-6.724072818542481e-07
H21.33.033	pca_hvg_18__MTG	-1.3866414292351692e-06
H21.33.034	pca_hvg_18__MTG	-2.437563040302848e-08
H21.33.037	pca_hvg_18__MTG	1.6734031760279322e-07
